Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
2018-11-22,1812.0,1820.0,1847.6,1809.95,1816.2,1812.55,1830.63,3194219,5847440797.4,139414
2018-11-26,1812.55,1819.0,1860.0,1784.5,1846.0,1846.1,1813.41,4333177,7857828743.15,203328
2018-11-27,1846.1,1854.0,1897.9,1835.35,1895.0,1890.25,1864.24,3344839,6235572685.1,143244
2018-11-28,1890.25,1889.0,1989.0,1882.5,1985.05,1983.9,1951.77,5313249,10370244428.75,227744
2018-11-29,1983.9,1997.0,1997.0,1942.55,1970.0,1960.55,1964.64,4035441,7928194385.75,160612
2018-11-30,1960.55,1966.0,1991.0,1959.85,1974.8,1968.25,1972.18,5268901,10391195273.15,205076
2018-12-03,1968.25,1984.0,1990.0,1968.3,1984.0,1982.4,1978.67,1610576,3186800046.15,125194
2018-12-04,1982.4,1983.0,2019.4,1971.0,2009.85,2010.85,2004.77,3270615,6556823314.95,143841
2018-12-05,2010.85,2006.0,2018.0,1985.0,2003.9,2006.75,2004.02,2501539,5013123489.45,107625
2018-12-06,2006.75,1998.0,2017.0,1979.6,1990.0,1992.7,1997.82,2321216,4637371315.5,123556
2018-12-07,1992.7,1985.05,2003.9,1973.0,1999.85,1995.2,1991.36,1680420,3346325826.5,99269
2018-12-10,1995.2,1975.0,2011.0,1960.0,1961.0,1975.8,1988.81,2010786,3999073163.95,131125
2018-12-11,1975.8,1970.0,2010.0,1961.0,1997.05,2000.0,1993.07,2942014,5863626489.6,155565
2018-12-12,2000.0,2001.1,2022.0,1984.95,2016.5,2016.8,2011.87,2219993,4466342395.75,137802
2018-12-13,2016.8,2024.0,2029.7,1974.5,1981.95,1982.6,1995.57,3748429,7480237533.05,230059
2018-12-14,1982.6,1983.0,1998.95,1975.25,1989.0,1989.75,1984.61,2473761,4909442438.4,131978
2018-12-17,1989.75,1999.0,2004.9,1985.0,1992.9,1994.3,1993.85,1227921,2448295270.75,82547
2018-12-18,1994.3,1991.9,2002.0,1976.4,1987.9,1987.85,1986.56,1768742,3513711449.25,98048
2018-12-19,1987.85,1984.8,1984.8,1960.05,1970.8,1968.45,1968.84,2498833,4919804830.75,162431
2018-12-20,1968.45,1953.8,1974.9,1946.0,1955.0,1954.05,1955.65,1940277,3794509954.25,110330
2018-12-21,1954.05,1948.0,1950.0,1886.55,1905.0,1895.8,1913.17,3729956,7136052188.45,148411
2018-12-24,1895.8,1905.8,1938.9,1905.0,1922.0,1918.5,1924.7,1864116,3587857371.6,94556
2018-12-26,1918.5,1921.8,1921.8,1870.25,1892.0,1889.2,1884.77,2446614,4611297888.7,97165
2018-12-27,1889.2,1909.0,1941.7,1872.1,1909.1,1908.95,1920.44,4968201,9541145913.9,143656
2018-12-28,1908.95,1915.0,1920.0,1893.0,1897.0,1896.05,1907.36,2239130,4270838131.8,112230
2018-12-31,1896.05,1908.0,1909.0,1886.15,1894.75,1893.05,1896.42,1879740,3564772253.95,66284
2019-01-01,1893.05,1896.0,1910.0,1885.0,1905.9,1902.8,1899.78,1094883,2080034193.5,32636
2019-01-02,1902.8,1905.0,1934.45,1900.0,1919.0,1923.3,1922.9,2100463,4038986341.2,85488
2019-01-03,1923.3,1919.0,1944.95,1893.1,1901.0,1899.95,1916.85,2611668,5006177890.75,144072
2019-01-04,1899.95,1900.0,1901.2,1841.0,1882.0,1876.85,1869.19,4280862,8001741605.35,208198
2019-01-07,1876.85,1891.8,1908.8,1881.0,1898.0,1897.9,1894.04,1856423,3516134996.45,87327
2019-01-08,1897.9,1905.4,1906.4,1883.3,1891.0,1893.55,1892.03,1691756,3200853934.3,93357
2019-01-09,1893.55,1907.4,1919.0,1866.7,1884.6,1886.95,1897.56,2414376,4581424758.65,120123
2019-01-10,1886.95,1890.0,1905.0,1872.1,1883.0,1888.55,1891.77,3053461,5776451269.6,123512
2019-01-11,1888.55,1870.0,1875.0,1835.0,1843.45,1842.55,1849.37,9209862,17032412186.85,290559
2019-01-14,1842.55,1850.0,1851.0,1810.0,1815.45,1813.25,1817.21,3615370,6569891233.4,193940
2019-01-15,1813.25,1810.0,1869.35,1808.0,1866.0,1867.8,1857.55,7711653,14324788401.4,199057
2019-01-16,1867.8,1870.0,1875.0,1847.0,1873.95,1870.15,1861.89,2359280,4392724354.1,131093
2019-01-17,1870.15,1878.0,1898.0,1871.3,1895.0,1894.3,1887.33,2625816,4955787778.1,124983
2019-01-18,1894.3,1881.0,1904.2,1876.0,1899.5,1900.65,1891.36,1683728,3184540713.1,110667
2019-01-21,1900.65,1902.0,1932.0,1895.45,1903.5,1908.7,1916.27,2409803,4617841216.5,119665
2019-01-22,1908.7,1907.1,1918.25,1890.0,1896.7,1901.9,1902.97,2457093,4675762855.45,186202
2019-01-23,1901.9,1901.0,1906.1,1870.0,1881.0,1875.6,1882.8,2578169,4854176208.75,116599
2019-01-24,1875.6,1884.8,1905.25,1875.0,1902.0,1901.55,1893.8,1962927,3717393857.35,109822
2019-01-25,1901.55,1902.0,1935.0,1901.0,1919.5,1920.8,1921.92,2327080,4472468048.2,96992
2019-01-28,1920.8,1933.0,1962.0,1925.5,1960.0,1955.0,1948.39,2769033,5395144625.05,108034
2019-01-29,1955.0,1962.0,1989.05,1936.65,1983.35,1982.75,1959.99,2557626,5012920415.3,120832
2019-01-30,1982.75,1979.6,1989.5,1954.65,1984.15,1981.4,1975.06,2429575,4798566666.9,112445
2019-01-31,1981.4,1987.0,2019.75,1985.0,2009.5,2014.1,2008.37,4094319,8222922479.7,146142
2019-02-01,2014.1,2009.5,2034.75,1998.1,2024.2,2029.95,2022.08,3064163,6195976319.75,113684
2019-02-04,2029.95,2029.95,2055.45,2023.0,2049.2,2050.25,2039.87,1590764,3244951832.05,67625
2019-02-05,2050.25,2050.0,2055.0,2028.0,2051.0,2044.55,2043.13,1111404,2270739557.2,50408
2019-02-06,2044.55,2049.9,2086.85,2041.05,2070.0,2074.8,2067.55,1789812,3700533606.15,84074
2019-02-07,2074.8,2074.75,2097.95,2067.0,2078.25,2082.9,2084.77,1339945,2793476400.35,67902
2019-02-08,2082.9,2075.0,2089.5,2051.0,2055.65,2061.4,2072.46,1684474,3490998247.35,71171
2019-02-11,2061.4,2060.0,2096.0,2048.9,2065.6,2065.9,2077.11,1778730,3694622315.8,83603
2019-02-12,2065.9,2070.0,2070.0,2018.0,2051.0,2051.6,2042.96,2422903,4949899350.85,115864
2019-02-13,2051.6,2062.0,2083.0,2050.5,2057.0,2065.4,2064.32,2808581,5797796619.7,141176
2019-02-14,2065.4,2060.05,2075.0,2033.05,2049.0,2044.6,2050.83,1724085,3535809084.55,82641
2019-02-15,2044.6,2049.0,2052.0,2010.95,2034.6,2029.7,2031.88,1930065,3921659541.8,96728
2019-02-18,2029.7,2037.6,2041.95,1962.65,1969.6,1970.3,1988.87,2942184,5851634018.75,100585
2019-02-19,1970.3,1970.0,1971.0,1892.0,1907.6,1904.8,1930.07,4408554,8508831637.45,161765
2019-02-20,1904.8,1915.0,1933.8,1881.3,1913.3,1914.75,1908.2,4645778,8865093021.6,139504
